ISO,index,Macroarea,Latitude,Longitude,Status_X_L,countryISO,num_speakers,country_population,Country_coord,cant_paises
rmy,1932,Eurasia,45.0,21.0,0,"['CAN', 'NOR', 'ESP', 'SWE', 'POL', 'ITA', 'GRC', 'PRT', 'NLD', 'MEX', 'FRA', 'GBR', 'BRA', 'RUS', 'DEU', 'UKR', 'SVK', 'SVN', 'MDA', 'ROU', 'BGR', 'MKD', 'ALB', 'BIH', 'CHL', 'ARG', 'COL']",,"[37894799.0, 5391369.0, 46733038.0, 10379295.0, 38382576.0, 60317000.0, 10760421.0, 10295909.0, 17282163.0, 124777324.0, 66628000.0, 66022273.0, 210147125.0, 146804372.0, 83149300.0, 42558328.0, 5397036.0, 2066880.0, 2550900.0, 19586539.0, 7000039.0, 2075301.0, 3020209.0, 3507017.0, 18054726.0, 44938712.0, 49065615.0]","['Point(-109.0 56.0)', 'Point(11.0 65.0)', 'Point(-3.5 40.2)', 'Point(15.0 61.0)', 'Point(19.0 52.0)', 'Point(12.5 42.5)', 'Point(23.0 38.5)', 'Point(-9.183333333 38.7)', 'Point(5.55 52.316666666)', 'Point(-102.0 23.0)', 'Point(2.0 47.0)', 'Point(-2.0 54.6)', 'Point(-53.0 -14.0)', 'Point(94.25 66.416666666)', 'Point(10.0 51.0)', 'Point(32.0 49.0)', 'Point(20.0 49.0)', 'Point(15.0 46.0)', 'Point(28.516667 47.25)', 'Point(25.0 46.0)', 'Point(25.5 42.75)', 'Point(21.716667 41.65)', 'Point(20.0 41.0)', 'Point(18.0 44.0)', 'Point(-71.0 -33.0)', 'Point(-64.0 -34.0)', 'Point(-74.0 4.0)']",27
rmy,1933,Eurasia,47.0,21.5,0,"['CAN', 'NOR', 'ESP', 'SWE', 'POL', 'ITA', 'GRC', 'PRT', 'NLD', 'MEX', 'FRA', 'GBR', 'BRA', 'RUS', 'DEU', 'UKR', 'SVK', 'SVN', 'MDA', 'ROU', 'BGR', 'MKD', 'ALB', 'BIH', 'CHL', 'ARG', 'COL']",,"[37894799.0, 5391369.0, 46733038.0, 10379295.0, 38382576.0, 60317000.0, 10760421.0, 10295909.0, 17282163.0, 124777324.0, 66628000.0, 66022273.0, 210147125.0, 146804372.0, 83149300.0, 42558328.0, 5397036.0, 2066880.0, 2550900.0, 19586539.0, 7000039.0, 2075301.0, 3020209.0, 3507017.0, 18054726.0, 44938712.0, 49065615.0]","['Point(-109.0 56.0)', 'Point(11.0 65.0)', 'Point(-3.5 40.2)', 'Point(15.0 61.0)', 'Point(19.0 52.0)', 'Point(12.5 42.5)', 'Point(23.0 38.5)', 'Point(-9.183333333 38.7)', 'Point(5.55 52.316666666)', 'Point(-102.0 23.0)', 'Point(2.0 47.0)', 'Point(-2.0 54.6)', 'Point(-53.0 -14.0)', 'Point(94.25 66.416666666)', 'Point(10.0 51.0)', 'Point(32.0 49.0)', 'Point(20.0 49.0)', 'Point(15.0 46.0)', 'Point(28.516667 47.25)', 'Point(25.0 46.0)', 'Point(25.5 42.75)', 'Point(21.716667 41.65)', 'Point(20.0 41.0)', 'Point(18.0 44.0)', 'Point(-71.0 -33.0)', 'Point(-64.0 -34.0)', 'Point(-74.0 4.0)']",27
rmb,1934,Australia,-12.8333333333,134.583333333,0,AUS,,24511800.0,Point(137.0 -28.0),1
roh,1935,Eurasia,46.6666666667,9.16666666667,0,CHE,40039.0,8466017.0,Point(8.231973 46.798562),1
roh,1936,Eurasia,46.75,9.5,0,CHE,40039.0,8466017.0,Point(8.231973 46.798562),1
roh,1937,Eurasia,46.5833333333,9.75,0,CHE,40039.0,8466017.0,Point(8.231973 46.798562),1
roh,1938,Eurasia,46.6666666667,8.83333333333,0,CHE,40039.0,8466017.0,Point(8.231973 46.798562),1
run,1939,Africa,-3.5,30.0,0,"['TZA', 'BDI', 'COD', 'UGA']",8800000.0,"[57310019.0, 11530580.0, 86790567.0, 42862958.0]","['Point(34.854 -6.307)', 'Point(29.816667 -3.666667)', 'Point(23.656 -2.88)', 'Point(32.39 1.28)']",4
mnv,1940,Papunesia,-11.6166666667,160.25,0,SLB,,611343.0,Point(159.816666666 -9.466666666),1
rml,1941,Eurasia,60.0,38.0,0,"['FIN', 'POL', 'LTU', 'RUS', 'EST', 'LVA']",50000.0,"[5501043.0, 38382576.0, 2790842.0, 146804372.0, 1324820.0, 1909000.0]","['Point(27.0 65.0)', 'Point(19.0 52.0)', 'Point(24.0 55.2)', 'Point(94.25 66.416666666)', 'Point(26.0 59.0)', 'Point(25.0 57.0)']",6
