,WALS_ID,ISO,Name,Macroarea,Country_ID,Latitude,Longitude,Family,Genus,Lenguaje de Señas,Status
1051,kgy,kgy,Kyirong,Eurasia,CN,28.4166666667,85.3333333333,Sino-Tibetan,Bodic,0,L
1052,kgz,kir,Kirghiz,Eurasia,KG,42.0,75.0,Altaic,Turkic,0,L
1053,kha,khk,Khalkha,Eurasia,MN,47.0,105.0,Altaic,Mongolic,0,L
1054,khd,khg,Kham (Dege),Eurasia,CN,31.8333333333,98.5833333333,Sino-Tibetan,Bodic,0,L
1055,khg,klr,Khaling,Eurasia,CN IN NP,27.5,86.6666666667,Sino-Tibetan,Mahakiranti,0,L
1056,khi,kjj,Khinalug,Eurasia,AZ,41.1666666667,48.0833333333,Nakh-Daghestanian,Lezgic,0,L
1057,khk,kjh,Khakas,Eurasia,RU,53.0,90.0,Altaic,Turkic,0,L
1058,khl,klj,Khalaj,Eurasia,IR,35.0,50.0,Altaic,Turkic,0,L
1059,khm,khm,Khmer,Eurasia,KH,12.5,105.0,Austro-Asiatic,Khmer,0,L
1060,khn,kkh,Khün,Eurasia,MM,21.0,100.0,Tai-Kadai,Kam-Tai,0,L
1061,kho,naq,Nama,Africa,,-25.5,18.0,Khoe-Kwadi,Khoe-Kwadi,0,L
1062,khr,khr,Kharia,Eurasia,IN,22.5,84.3333333333,Austro-Asiatic,Munda,0,L
1063,khs,kha,Khasi,Eurasia,IN,25.5,92.0,Austro-Asiatic,Khasian,0,L
1064,khu,cnk,Khumi,Eurasia,MM,21.9166666667,92.4166666667,Sino-Tibetan,Kuki-Chin,0,L
1065,khv,khv,Khwarshi,Eurasia,RU,42.25,46.1666666667,Nakh-Daghestanian,Avar-Andic-Tsezic,0,L
1066,khw,khw,Khowar,Eurasia,PK,36.0,72.0,Indo-European,Indic,0,L
1067,kic,kic,Kickapoo,North America,US,42.25,-84.0,Algic,Algonquian,0,L
1068,kie,geb,Kire,Papunesia,PG,-4.25,144.75,Lower Sepik-Ramu,Mikarew,0,L
1069,kij,gia,Kitja,Australia,AU,-17.5,127.75,Jarrakan,Jarrakan,0,L
