language,languageLabel,statusLabel,native,ISO,countryLabel,walsCode,IDH,coordinates,Population
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Mauritania,fre,0.52,Point(-11.0 21.0),4420184
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Mauritania,fre,0.52,Point(-11.0 21.0),4420184
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Mauritius,fre,0.79,Point(57.5 -20.2),1264613
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Mauritius,fre,0.79,Point(57.5 -20.2),1264613
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Morocco,fre,0.667,Point(-6.0 32.0),36029138
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Morocco,fre,0.667,Point(-6.0 32.0),36029138
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Niger,fre,0.354,Point(10.0 17.0),21477348
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Niger,fre,0.354,Point(10.0 17.0),21477348
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Rwanda,fre,0.524,Point(29.873888888 -1.940277777),12208407
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Rwanda,fre,0.524,Point(29.873888888 -1.940277777),12208407
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Senegal,fre,0.505,Point(-14.283333 14.366667),15850567
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Senegal,fre,0.505,Point(-14.283333 14.366667),15850567
http://www.wikidata.org/entity/Q150,French,0 International,76795640,fra,Seychelles,fre,0.797,Point(52.766667 -7.1),95843
http://www.wikidata.org/entity/Q150,French,0 International,208157220,fra,Seychelles,fre,0.797,Point(52.766667 -7.1),95843
http://www.wikidata.org/entity/Q5287,Japanese,1 National,130000000,jpn,Japan,jpn,0.909,Point(136.0 35.0),126434565
http://www.wikidata.org/entity/Q5146,Portuguese,1 National,202225450,por,Spain,por,0.876,Point(-3.5 40.2),46733038
http://www.wikidata.org/entity/Q5146,Portuguese,1 National,254300000,por,Spain,por,0.876,Point(-3.5 40.2),46733038
http://www.wikidata.org/entity/Q5287,Japanese,1 National,130000000,jpn,United States of America,jpn,0.92,Point(-98.5795 39.828175),331449281
http://www.wikidata.org/entity/Q5146,Portuguese,1 National,202225450,por,Portugal,por,0.83,Point(-9.183333333 38.7),10295909
http://www.wikidata.org/entity/Q5146,Portuguese,1 National,254300000,por,Portugal,por,0.83,Point(-9.183333333 38.7),10295909
