,ISO,Macroarea,Latitude,Longitude,Status_X_L,countryISO,num_speakers,country_population,Country_coord,cant_paises
1085,kls,Eurasia,35.0,72.0,0.0,PAK,5000,216565318.0,Point(71.0 30.0),1
1086,lew,Papunesia,-1.16666666667,120.0,0.0,IDN,215000,270625568.0,Point(118.0 -2.0),1
1087,xuo,Africa,8.0,15.5,0.0,"['TCD', 'CMR']",20250,"[15477751.0, 24053727.0]","['Point(19.4 15.466667)', 'Point(12.0 7.0)']",2
1088,bco,Papunesia,-6.5,142.75,0.0,PNG,3100,8935000.0,Point(147.0 -6.3),1
1089,kla,North America,42.5,-121.5,0.0,USA,6,331449281.0,Point(-98.5795 39.828175),1
1090,kvw,Papunesia,-8.25,125.116666667,0.0,IDN,3700,270625568.0,Point(118.0 -2.0),1
1091,kyl,North America,44.5,-123.0,1.0,USA,0,331449281.0,Point(-98.5795 39.828175),1
1092,kmh,Papunesia,-5.25,144.583333333,0.0,PNG,20000,8935000.0,Point(147.0 -6.3),1
1093,shm,Eurasia,37.0,48.0,0.0,IRN,,79966230.0,Point(53.0 32.0),1
1094,fla,North America,48.0,-117.0,0.0,USA,64,331449281.0,Point(-98.5795 39.828175),1
1095,kzi,Papunesia,3.66666666667,115.416666667,0.0,"['IDN', 'MYS']",4640,"[270625568.0, 31624264.0]","['Point(118.0 -2.0)', 'Point(108.0 3.0)']",2
1096,kij,Papunesia,-8.5,151.083333333,0.0,PNG,40000,8935000.0,Point(147.0 -6.3),1
1097,klb,North America,31.3333333333,-115.666666667,0.0,MEX,10,124777324.0,Point(-102.0 23.0),1
1098,mwp,Papunesia,-10.1166666667,142.116666667,0.0,AUS,960,24511800.0,Point(137.0 -28.0),1
1099,kck,Africa,-20.5,27.5,0.0,"['ZWE', 'BWA']",338000,"[16529904.0, 2291661.0]","['Point(30.0 -19.0)', 'Point(23.7 -22.2)']",2
1100,kay,South America,-12.0833333333,-52.5833333333,0.0,BRA,530,210147125.0,Point(-53.0 -14.0),1
1101,kgj,Eurasia,28.5,82.75,0.0,NPL,10000,30327877.0,Point(84.0 28.0),1
1102,kcu,Africa,-6.75,38.0,0.0,TZA,16400,57310019.0,Point(34.854 -6.307),1
1103,kdj,Africa,3.0,34.1666666667,0.0,UGA,691000,42862958.0,Point(32.39 1.28),1
1104,kue,Papunesia,-5.91666666667,145.0,0.0,PNG,115000,8935000.0,Point(147.0 -6.3),1
1105,kpx,Papunesia,-9.0,147.5,0.0,PNG,4000,8935000.0,Point(147.0 -6.3),1
1106,kup,Papunesia,-8.0,146.833333333,0.0,PNG,8200,8935000.0,Point(147.0 -6.3),1
1107,kgq,Papunesia,-4.33333333333,136.0,0.0,IDN,8000,270625568.0,Point(118.0 -2.0),1
1108,xas,Eurasia,52.0,92.0,1.0,RUS,0,146804372.0,Point(94.25 66.416666666),1
1109,kmt,Papunesia,-2.66666666667,140.333333333,0.0,IDN,2500,270625568.0,Point(118.0 -2.0),1
1110,kjg,Eurasia,21.0,102.0,0.0,"['CHN', 'LAO', 'THA', 'VNM']",480000,"[1409517397.0, 1443497378.0, 6858160.0, 65931550.0, 94660000.0]","['Point(103.451944444 35.844722222)', 'Point(104.0 18.2)', 'Point(101.0 14.0)', 'Point(108.0 16.0)']",4
1111,xmu,Australia,-13.5833333333,130.833333333,1.0,AUS,0,24511800.0,Point(137.0 -28.0),1
1112,kms,Papunesia,-3.91666666667,143.666666667,0.0,PNG,960,8935000.0,Point(147.0 -6.3),1
1113,ktn,South America,-9.5,-64.0,0.0,BRA,210,210147125.0,Point(-53.0 -14.0),1
1114,khd,Papunesia,-8.83333333333,140.75,0.0,IDN,5,270625568.0,Point(118.0 -2.0),1
1115,uwa,Australia,-14.4166666667,142.0,1.0,AUS,0,24511800.0,Point(137.0 -28.0),1
1116,kan,Eurasia,14.0,76.0,0.0,IND,"[43506272.0, 44000000.0]",1326093247.0,Point(83.0 22.8),1
1117,kgp,South America,-26.0,-52.0,0.0,BRA,18500,210147125.0,Point(-53.0 -14.0),1
1118,kma,Africa,10.25,-1.58333333333,0.0,GHA,3800,26908262.0,Point(-0.5 8.0),1
1119,kna,Africa,10.0,12.0,0.0,NGA,20000,190886311.0,Point(8.0 9.0),1
1120,kun,Africa,14.5,37.0,0.0,ERI,244570,3497000.0,Point(38.25 15.483333),1
1121,kfk,Eurasia,31.5,78.0,0.0,IND,98600,1326093247.0,Point(83.0 22.8),1
1122,kxo,South America,-13.25,-61.0,0.0,BRA,3,210147125.0,Point(-53.0 -14.0),1
1123,kcd,Papunesia,-8.66666666667,140.916666667,0.0,IDN,100,270625568.0,Point(118.0 -2.0),1
1124,knc,Africa,12.0,13.0,0.0,"['TCD', 'CMR', 'NER', 'NGA']",8425500,"[15477751.0, 24053727.0, 21477348.0, 190886311.0]","['Point(19.4 15.466667)', 'Point(12.0 7.0)', 'Point(10.0 17.0)', 'Point(8.0 9.0)']",4
1125,kyx,Papunesia,-5.83333333333,154.833333333,0.0,PNG,3500,8935000.0,Point(147.0 -6.3),1
1126,mjd,North America,39.5,-121.5,0.0,USA,0,331449281.0,Point(-98.5795 39.828175),1
1127,cku,North America,34.8333333333,-85.1666666667,0.0,USA,370,331449281.0,Point(-98.5795 39.828175),1
1128,kpw,Papunesia,-5.16666666667,144.333333333,0.0,PNG,10000,8935000.0,Point(147.0 -6.3),1
1129,kfa,Eurasia,12.1666666667,76.8333333333,0.0,IND,200000,1326093247.0,Point(83.0 22.8),1
1130,xwg,Africa,7.0,36.0833333333,0.0,ETH,5110,104957438.0,Point(40.0 9.0),1
1131,bcs,Africa,6.0,8.11666666667,0.0,NGA,30000,190886311.0,Point(8.0 9.0),1
1132,kbk,Papunesia,-9.5,147.333333333,0.0,PNG,1700,8935000.0,Point(147.0 -6.3),1
1133,trp,Eurasia,24.3333333333,92.5,0.0,"['IND', 'BGD']",700000,"[1326093247.0, 165775000.0]","['Point(83.0 22.8)', 'Point(89.866667 24.016667)']",2
1134,xom,Africa,8.75,33.75,0.0,"['ETH', 'SSD', 'SDN']",18530,"[104957438.0, 12575714.0, 40533330.0]","['Point(40.0 9.0)', 'Point(30.0 7.0)', 'Point(32.0 15.0)']",3
1135,kvv,Papunesia,-5.5,134.5,0.0,IDN,"[500.0, 2750.0]",270625568.0,Point(118.0 -2.0),1
1136,koi,Eurasia,59.5,54.5,0.0,RUS,63100,146804372.0,Point(94.25 66.416666666),1
1137,kor,Eurasia,37.5,128.0,0.0,"['CHN', 'PRK', 'KOR']",73233270,"[1409517397.0, 1443497378.0, 25490965.0, 51466201.0]","['Point(103.451944444 35.844722222)', 'Point(127.0 40.0)', 'Point(128.0 36.0)']",3
1138,kos,Papunesia,5.3,163.0,0.0,FSM,8000,105544.0,Point(158.183333333 6.916666666),1
1139,kfe,Eurasia,11.5,77.1666666667,0.0,IND,930,1326093247.0,Point(83.0 22.8),1
1140,kfe,Eurasia,57.0,94.0,0.0,IND,930,1326093247.0,Point(83.0 22.8),1
1141,bkm,Africa,6.25,10.3333333333,0.0,CMR,233000,24053727.0,Point(12.0 7.0),1
1142,kst,Africa,11.8666666667,-2.91666666667,0.0,BFA,20000,19193382.0,Point(-2.066667 12.266667),1
1143,kff,Eurasia,17.5,81.3333333333,0.0,IND,455000,1326093247.0,Point(83.0 22.8),1
1144,kpk,Africa,7.58333333333,10.1666666667,0.0,NGA,11400,190886311.0,Point(8.0 9.0),1
1145,xpe,Africa,7.0,-10.0,0.0,LBR,867000,4731906.0,Point(-9.75 6.533333),1
1146,pam,Papunesia,15.3333333333,120.5,0.0,PHL,2400000,100981437.0,Point(123.0 12.0),1
1147,kpg,Papunesia,1.05,154.75,0.0,FSM,3000,105544.0,Point(158.183333333 6.916666666),1
1148,kpo,Africa,7.5,0.833333333333,0.0,"['GHA', 'TGO']",225500,"[26908262.0, 7797694.0]","['Point(-0.5 8.0)', 'Point(1.183333 8.25)']",2
1149,kqq,South America,-15.5,-41.0,0.0,BRA,10,210147125.0,Point(-53.0 -14.0),1
1150,leu,Papunesia,-2.83333333333,151.116666667,0.0,PNG,5870,8935000.0,Point(147.0 -6.3),1
1151,gil,Papunesia,1.33333333333,173.0,0.0,KIR,116280,119940.0,Point(173.033333333 1.466666666),1
1152,krc,Eurasia,43.5,42.0,0.0,RUS,"[305364.0, 310400.0]",146804372.0,Point(94.25 66.416666666),1
1153,ckb,Eurasia,36.0,44.0,0.0,"['IRN', 'IRQ']",7250000,"[79966230.0, 38274618.0]","['Point(53.0 32.0)', 'Point(43.0 33.0)']",2
1154,krs,Africa,8.5,24.5,0.0,"['SSD', 'SDN']",48000,"[12575714.0, 40533330.0]","['Point(30.0 7.0)', 'Point(32.0 15.0)']",2
1155,kpr,Papunesia,-9.05,149.083333333,0.0,PNG,3630,8935000.0,Point(147.0 -6.3),1
1156,sna,Africa,-20.0,31.0,0.0,"['ZMB', 'ZWE', 'BWA', 'MOZ']",9023000,"[17094130.0, 16529904.0, 2291661.0, 29668834.0]","['Point(28.0 -14.0)', 'Point(30.0 -19.0)', 'Point(23.7 -22.2)', 'Point(35.0 -19.0)']",4
