,ISO,Name,Macroarea,Latitude_lang,Longitude_lang,Status_X_L,Status,num_speakers,cant_paises,Native_country,country_ISO,Latitude_country,Longitude_country,Coord_country_point,country_population,Family,Genus,WALS_ID,HDI,Nearest_languages
347,eus,Basque (Northern High Navarrese),Eurasia,43.0,-3.83333333333,0.0,2 Provincial,537860.0,2,ES,"['ESP', 'FRA']","[40.2, 47.0]","[-3.5, 2.0]","['Point(-3.5 40.2)', 'Point(2.0 47.0)']","[46733038.0, 66628000.0]",Basque,Basque,bqn,"[0.876, 0.888]",104
348,eus,Basque (Oñati),Eurasia,43.0,-3.83333333333,0.0,2 Provincial,537860.0,2,ES,"['ESP', 'FRA']","[40.2, 47.0]","[-3.5, 2.0]","['Point(-3.5 40.2)', 'Point(2.0 47.0)']","[46733038.0, 66628000.0]",Basque,Basque,bqo,"[0.876, 0.888]",104
349,eus,Basque (Roncalese),Eurasia,43.0,-3.83333333333,0.0,2 Provincial,537860.0,2,ES,"['ESP', 'FRA']","[40.2, 47.0]","[-3.5, 2.0]","['Point(-3.5 40.2)', 'Point(2.0 47.0)']","[46733038.0, 66628000.0]",Basque,Basque,bqr,"[0.876, 0.888]",104
350,eus,Basque (Sakana),Eurasia,43.0,-3.83333333333,0.0,2 Provincial,537860.0,2,ES,"['ESP', 'FRA']","[40.2, 47.0]","[-3.5, 2.0]","['Point(-3.5 40.2)', 'Point(2.0 47.0)']","[46733038.0, 66628000.0]",Basque,Basque,bqs,"[0.876, 0.888]",104
351,eus,Basque (Zeberio),Eurasia,43.0,-3.83333333333,0.0,2 Provincial,537860.0,2,ES,"['ESP', 'FRA']","[40.2, 47.0]","[-3.5, 2.0]","['Point(-3.5 40.2)', 'Point(2.0 47.0)']","[46733038.0, 66628000.0]",Basque,Basque,bqz,"[0.876, 0.888]",104
352,eus,Basque (Souletin),Eurasia,43.0,-3.83333333333,0.0,2 Provincial,537860.0,2,FR,"['ESP', 'FRA']","[40.2, 47.0]","[-3.5, 2.0]","['Point(-3.5 40.2)', 'Point(2.0 47.0)']","[46733038.0, 66628000.0]",Basque,Basque,bso,"[0.876, 0.888]",104
353,eus,Basque,Eurasia,43.0,-3.83333333333,0.0,2 Provincial,537860.0,2,FR ES,"['ESP', 'FRA']","[40.2, 47.0]","[-3.5, 2.0]","['Point(-3.5 40.2)', 'Point(2.0 47.0)']","[46733038.0, 66628000.0]",,,bsq,"[0.876, 0.888]",104
354,brb,Brao,Eurasia,14.1666666667,107.5,0.0,5 Developing,35430.0,3,VN,"['KHM', 'LAO', 'VNM']","[12.6, 18.2, 16.0]","[105.0, 104.0, 108.0]","['Point(105.0 12.6)', 'Point(104.0 18.2)', 'Point(108.0 16.0)']","[16005373.0, 6858160.0, 94660000.0]",Austro-Asiatic,Bahnaric,bra,"[0.582, 0.601, 0.694]",168
355,bba,Bariba,Africa,10.0,2.5,0.0,3 Wider Communication,1041000.0,2,NG BJ,"['BEN', 'NGA']","[8.833333333, 9.0]","[2.183333333, 8.0]","['Point(2.183333333 8.833333333)', 'Point(8.0 9.0)']","[11175692.0, 190886311.0]",Niger-Congo,Southern-Central Gur,brb,"[0.515, 0.532]",409
356,brn,Boruca,North America,8.83333333333,-83.25,0.0,9 Dormant,0.0,1,CR,CRI,[10.0],[-84.0],Point(-84.0 10.0),4905769.0,Chibchan,Talamanca,brc,0.794,67
357,bcj,Bardi,Australia,-16.5833333333,122.916666667,0.0,8a Moribund,30.0,1,AU,AUS,[-28.0],[137.0],Point(137.0 -28.0),24511800.0,Nyulnyulan,Nyulnyulan,brd,0.939,108
358,bre,Breton,Eurasia,48.0,-3.0,0.0,7 Shifting,206000.0,1,FR,FRA,[47.0],[2.0],Point(2.0 47.0),66628000.0,Indo-European,Celtic,bre,0.888,19
359,rif,Berber (Rif),Africa,34.5,-4.0,0.0,5 Developing,4399000.0,3,MA DZ,"['ESP', 'DZA', 'MAR']","[40.2, 28.0, 32.0]","[-3.5, 1.0, -6.0]","['Point(-3.5 40.2)', 'Point(1.0 28.0)', 'Point(-6.0 32.0)']","[46733038.0, 41318142.0, 36029138.0]",Afro-Asiatic,Berber,brf,"[0.876, 0.754, 0.667]",117
360,brh,Brahui,Eurasia,28.5,67.0,0.0,5 Developing,1800000.0,4,PK,"['IRN', 'PAK', 'TKM', 'AFG']","[32.0, 30.0, 39.0, 34.0]","[53.0, 71.0, 60.0, 66.0]","['Point(53.0 32.0)', 'Point(71.0 30.0)', 'Point(60.0 39.0)', 'Point(66.0 34.0)']","[79966230.0, 216565318.0, 5850901.0, 36643815.0]",Dravidian,Northern Dravidian,brh,"[0.798, 0.562, 0.706, 0.498]",146
361,bzd,Bribri,North America,9.41666666667,-83.0,0.0,6b Threatened,7000.0,1,CR,CRI,[10.0],[-84.0],Point(-84.0 10.0),4905769.0,Chibchan,Talamanca,bri,0.794,61
