country,countryLabel,language,languageLabel,ISO,countryISO
http://www.wikidata.org/entity/Q1045,Somalia,http://www.wikidata.org/entity/Q13955,Arabic,ara,SOM
http://www.wikidata.org/entity/Q1049,Sudan,http://www.wikidata.org/entity/Q1860,English,eng,SDN
http://www.wikidata.org/entity/Q1049,Sudan,http://www.wikidata.org/entity/Q13955,Arabic,ara,SDN
http://www.wikidata.org/entity/Q1050,Eswatini,http://www.wikidata.org/entity/Q1860,English,eng,SWZ
http://www.wikidata.org/entity/Q1050,Eswatini,http://www.wikidata.org/entity/Q34014,Swazi,ssw,SWZ
http://www.wikidata.org/entity/Q11703,United States Virgin Islands,http://www.wikidata.org/entity/Q1860,English,eng,VIR
http://www.wikidata.org/entity/Q1183,Puerto Rico,http://www.wikidata.org/entity/Q1321,Spanish,spa,PRI
http://www.wikidata.org/entity/Q1183,Puerto Rico,http://www.wikidata.org/entity/Q1860,English,eng,PRI
http://www.wikidata.org/entity/Q1246,Kosovo,http://www.wikidata.org/entity/Q8748,Albanian,sqi,XKS
http://www.wikidata.org/entity/Q1246,Kosovo,http://www.wikidata.org/entity/Q9299,Serbian,srp,XKS
http://www.wikidata.org/entity/Q13353,Montserrat,http://www.wikidata.org/entity/Q1860,English,eng,MSR
http://www.wikidata.org/entity/Q1410,Gibraltar,http://www.wikidata.org/entity/Q1860,English,eng,GIB
http://www.wikidata.org/entity/Q14773,Macau,http://www.wikidata.org/entity/Q5146,Portuguese,por,MAC
http://www.wikidata.org/entity/Q14773,Macau,http://www.wikidata.org/entity/Q9186,Cantonese,yue,MAC
http://www.wikidata.org/entity/Q15180,Soviet Union,http://www.wikidata.org/entity/Q7737,Russian,rus,SUN
http://www.wikidata.org/entity/Q16635,Guam,http://www.wikidata.org/entity/Q1860,English,eng,GUM
http://www.wikidata.org/entity/Q16635,Guam,http://www.wikidata.org/entity/Q33262,Chamorro,cha,GUM
http://www.wikidata.org/entity/Q16641,American Samoa,http://www.wikidata.org/entity/Q1860,English,eng,ASM
http://www.wikidata.org/entity/Q16641,American Samoa,http://www.wikidata.org/entity/Q34011,Samoan,smo,ASM
http://www.wikidata.org/entity/Q16644,Northern Mariana Islands,http://www.wikidata.org/entity/Q1860,English,eng,MNP
