,ISO,WALS_ID,Name,Macroarea,Native_country,Latitude_lang,Longitude_lang,Family,Genus,Country_name,countryISO,Status,num_speakers,HDI,country_population,Country_coord,cant_paises,Country_lat,Country_long,nearest,Status_binario,official_in
2321,uum,urm,Urum,Eurasia,UA GE,47.1166666667,37.55,Altaic,Turkic,"['Greece', 'Ukraine', 'Georgia']","['GRC', 'UKR', 'GEO']",6b Threatened,185000.0,"[0.865, 0.747, 0.754]","[10760421.0, 42558328.0, 3717100.0]","[<shapely.geometry.point.Point object at 0x7f53a2beafd0>, <shapely.geometry.point.Point object at 0x7f53a2bea1c0>, <shapely.geometry.point.Point object at 0x7f53a2bead60>]",3,"[23.0, 32.0, 43.733330555]","[38.5, 49.0, 42.016669444]",112.0,0.0,
2322,ura,urn,Urarina,South America,PE,-4.5,-75.5,,,Peru,PER,5 Developing,4850.0,0.75,29381884.0,POINT (-76 -9.4),1,-76.0,-9.4,83.0,1.0,
2323,urt,urt,Urat,Papunesia,PG,-3.66666666667,142.833333333,Torricelli,Wapei-Palei,Papua New Guinea,PNG,6b Threatened,7000.0,0.555,8935000.0,POINT (147 -6.3),1,147.0,-6.3,326.0,0.0,
2324,ure,uru,Uru,South America,BO,-16.75,-69.0,Uru-Chipaya,Uru-Chipaya,Bolivia,BOL,9 Dormant,0.0,0.693,11051600.0,POINT (-64.991228611 -17.056869611),1,-64.991228611,-17.056869611,59.0,0.0,
2325,wnu,usa,Usan,Papunesia,PG,-4.83333333333,145.166666667,Trans-New Guinea,Madang,Papua New Guinea,PNG,5 Developing,1400.0,0.555,8935000.0,POINT (147 -6.3),1,147.0,-6.3,325.0,1.0,
2326,usa,usr,Usarufa,Papunesia,PG,-6.41666666667,145.583333333,Trans-New Guinea,Eastern Highlands,Papua New Guinea,PNG,6b Threatened,1200.0,0.555,8935000.0,POINT (147 -6.3),1,147.0,-6.3,328.0,0.0,
2327,uig,uyg,Uyghur,Eurasia,CN,40.0,80.0,Altaic,Turkic,"['Turkey', ""People's Republic of China"", 'Albania', 'Kazakhstan', 'Uzbekistan', 'Mongolia', 'Kyrgyzstan', 'Afghanistan']","['TUR', 'CHN', 'ALB', 'KAZ', 'UZB', 'MNG', 'KGZ', 'AFG']",2 Provincial,10389840.0,"[0.82, 0.752, 0.764, 0.8, 0.71, 0.741, 0.672, 0.498]","[83614362.0, 1409517397.0, 1443497378.0, 3020209.0, 18276500.0, 33570609.0, 3075647.0, 6201500.0, 36643815.0]","[<shapely.geometry.point.Point object at 0x7f53a2bea4c0>, <shapely.geometry.point.Point object at 0x7f53a2beaa60>, <shapely.geometry.point.Point object at 0x7f53a2beae80>, <shapely.geometry.point.Point object at 0x7f53a2bea940>, <shapely.geometry.point.Point object at 0x7f53a2bea640>, <shapely.geometry.point.Point object at 0x7f53a2beabe0>, <shapely.geometry.point.Point object at 0x7f53a2bea790>, <shapely.geometry.point.Point object at 0x7f53a2bea310>]",8,"[36.0, 103.451944444, 20.0, 68.0, 66.0, 104.0, 75.0, 66.0]","[39.0, 35.844722222, 41.0, 48.0, 41.0, 47.0, 41.0, 34.0]",125.0,1.0,
2328,vaf,vaf,Vafsi,Eurasia,IR,34.6666666667,49.9166666667,Indo-European,Iranian,Iran,IRN,7 Shifting,22200.0,0.798,79966230.0,POINT (53 32),1,53.0,32.0,46.0,0.0,
2329,vag,vag,Vagla,Africa,GH,9.41666666667,-2.41666666667,Niger-Congo,Southern-Central Gur,Ghana,GHA,5 Developing,13900.0,0.592,26908262.0,POINT (-0.5 8),1,-0.5,8.0,102.0,1.0,
2330,vai,vai,Vai,Africa,SL LR,6.91666666667,-11.25,Mande,Western Mande,"['Liberia', 'Sierra Leone']","['LBR', 'SLE']",5 Developing,208800.0,"[0.435, 0.419]","[4731906.0, 7557212.0]","[<shapely.geometry.point.Point object at 0x7f53a2bea8e0>, <shapely.geometry.point.Point object at 0x7f53a2beaf40>]",2,"[-9.75, -12.1]","[6.533333, 8.5]",90.0,1.0,
