country,countryLabel,point_cn,countryISO
http://www.wikidata.org/entity/Q826,Maldives,Point(73.51 4.18),MDV
http://www.wikidata.org/entity/Q833,Malaysia,Point(108.0 3.0),MYS
http://www.wikidata.org/entity/Q836,Myanmar,Point(96.0 22.0),MMR
http://www.wikidata.org/entity/Q837,Nepal,Point(84.0 28.0),NPL
http://www.wikidata.org/entity/Q842,Oman,Point(57.0 21.0),OMN
http://www.wikidata.org/entity/Q843,Pakistan,Point(71.0 30.0),PAK
http://www.wikidata.org/entity/Q846,Qatar,Point(51.212767 25.269535),QAT
http://www.wikidata.org/entity/Q851,Saudi Arabia,Point(44.116667 23.716667),SAU
http://www.wikidata.org/entity/Q854,Sri Lanka,Point(81.0 7.0),LKA
http://www.wikidata.org/entity/Q858,Syria,Point(38.583333 35.216667),SYR
http://www.wikidata.org/entity/Q863,Tajikistan,Point(71.366667 38.583333),TJK
http://www.wikidata.org/entity/Q8646,Hong Kong,Point(114.158611111 22.278333333),HKG
http://www.wikidata.org/entity/Q865,Taiwan,Point(121.0 24.0),TWN
http://www.wikidata.org/entity/Q869,Thailand,Point(101.0 14.0),THA
http://www.wikidata.org/entity/Q874,Turkmenistan,Point(60.0 39.0),TKM
http://www.wikidata.org/entity/Q878,United Arab Emirates,Point(54.3 24.4),ARE
http://www.wikidata.org/entity/Q881,Vietnam,Point(108.0 16.0),VNM
http://www.wikidata.org/entity/Q884,South Korea,Point(128.0 36.0),KOR
http://www.wikidata.org/entity/Q889,Afghanistan,Point(66.0 34.0),AFG
http://www.wikidata.org/entity/Q902,Bangladesh,Point(89.866667 24.016667),BGD
http://www.wikidata.org/entity/Q912,Mali,Point(-4.0 17.0),MLI
http://www.wikidata.org/entity/Q916,Angola,Point(17.35 -12.35),AGO
http://www.wikidata.org/entity/Q917,Bhutan,Point(90.5 27.45),BTN
http://www.wikidata.org/entity/Q921,Brunei,Point(114.566667 4.4),BRN
http://www.wikidata.org/entity/Q924,Tanzania,Point(34.854 -6.307),TZA
http://www.wikidata.org/entity/Q928,Philippines,Point(123.0 12.0),PHL
http://www.wikidata.org/entity/Q929,Central African Republic,Point(20.9 6.7),CAF
http://www.wikidata.org/entity/Q945,Togo,Point(1.183333 8.25),TGO
http://www.wikidata.org/entity/Q948,Tunisia,Point(10.0 34.0),TUN
http://www.wikidata.org/entity/Q953,Zambia,Point(28.0 -14.0),ZMB
http://www.wikidata.org/entity/Q954,Zimbabwe,Point(30.0 -19.0),ZWE
http://www.wikidata.org/entity/Q958,South Sudan,Point(30.0 7.0),SSD
http://www.wikidata.org/entity/Q962,Benin,Point(2.183333333 8.833333333),BEN
http://www.wikidata.org/entity/Q963,Botswana,Point(23.7 -22.2),BWA
http://www.wikidata.org/entity/Q9648,Falkland Islands,Point(-59.0 -51.75),FLK
http://www.wikidata.org/entity/Q965,Burkina Faso,Point(-2.066667 12.266667),BFA
http://www.wikidata.org/entity/Q967,Burundi,Point(29.816667 -3.666667),BDI
http://www.wikidata.org/entity/Q9676,Isle of Man,Point(-4.525 54.235),IMN
http://www.wikidata.org/entity/Q970,Comoros,Point(44.44553 -12.23333),COM
http://www.wikidata.org/entity/Q971,Republic of the Congo,Point(15.383330555 -0.75),COG
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,Point(23.656 -2.88),COD
http://www.wikidata.org/entity/Q977,Djibouti,Point(42.433333 11.8),DJI
http://www.wikidata.org/entity/Q983,Equatorial Guinea,Point(10.0 1.5),GNQ
http://www.wikidata.org/entity/Q986,Eritrea,Point(38.25 15.483333),ERI
